순번,레벨,문제,선택지①,선택지②,선택지③,선택지④,정답번호,정답 문구,참고쪽수
12,LEVEL 2,딥 리서치(Deep Research)에 대한 올바른 설명은?,이미지만 심층 분석하는 기능,자료 조사부터 보고서 작성까지 한 번에 처리하는 기능,구글 드라이브 파일만 검색하는 기능,유료 전용으로 일반 모드보다 느리게 작동,2,딥 리서치 = 조사 + 보고서 작성을 한 방에! 자료 조사 시간을 획기적으로 줄여줍니다.,71
13,LEVEL 2,자주 쓰는 프롬프트를 저장해두고 클릭 한 번으로 불러 쓰는 맞춤형 챗봇은?,에이전트,봇,젬(Gem),플러그인,3,젬(Gem)은 반복 업무의 구세주! 한 번 만들어두면 클릭 한 번으로 실행됩니다.,76
14,LEVEL 2,젬(Gem)을 팀원에게 공유하는 방법은?,파일로 내보내어 이메일로 보낸다,젬의 링크를 공유한다,구글 드라이브에 저장 후 공유한다,젬은 공유할 수 없다,2,링크만 보내면 끝! 팀 전체가 같은 젬을 사용할 수 있습니다.,80
15,LEVEL 2,구글 서비스를 연동하려면 입력 창에 어떤 기호를 먼저 입력해야 하나요?,#,/,@,!,3,@을 입력하면 연동 가능한 구글 앱 목록이 바로 나타납니다.,83
16,LEVEL 2,[대답 재확인] 사용 시 구글에서 확인되지 않는 내용은 어떤 색으로 표시되나요?,빨간색,파란색,주황색,노란색,3,초록색 = 구글에서 확인됨 / 주황색 = 확인 불가. 주황색이 뜨면 직접 검토하세요!,44
17,LEVEL 2,유튜브 링크만 입력해도 제미나이가 내용을 요약해 줄 수 있는 이유는?,제미나이가 모든 영상을 미리 학습해서,유튜브와 제미나이가 모두 구글 서비스라 연동되기 때문,크롬 브라우저 확장 기능 덕분에,유튜브 프리미엄 구독 시 자동 연동되어서,2,같은 구글 가족이라 가능한 일! 링크 하나로 요약·타임라인 추출까지 됩니다.,25
18,LEVEL 2,입력 창의 [동적 뷰] 기능에 대한 올바른 설명은?,PDF를 업로드하는 기능,프롬프트에 맞게 UI를 실시간으로 디자인하고 코딩하는 기능,캘린더와 연동해 일정을 자동 입력하는 기능,대화 내용을 음성으로 변환하는 기능,2,예를 들어 한국 주요 관광지 소개해줘 하면 웹페이지처럼 만들어서 보여줍니다.,57
19,LEVEL 2,구글 앱스 스크립트(Apps Script)로 자동 생성할 수 있는 것은?,유튜브 채널,구글 계정,구글 설문지,구글 드라이브 폴더,3,코딩 몰라도 OK! 제미나이가 코드를 짜주고 설문지를 자동으로 만들어줍니다.,113
20,LEVEL 2,책에서 제시한 프롬프트 5단계 작성 순서로 올바른 것은?,결과 형식→역할→작업→맥락→추가,역할→작업→맥락→결과 형식→추가,작업→역할→추가→결과 형식→맥락,맥락→작업→역할→추가→결과 형식,2,역할→작업→맥락→형식→추가. 이 순서대로 쓰면 결과물 퀄리티가 확 달라집니다.,47
21,LEVEL 3,노트북LM(NotebookLM)의 핵심 특징으로 올바른 것은?,인터넷 전체를 검색해 정보를 제공한다,사용자가 직접 업로드한 자료를 기반으로만 콘텐츠를 생성한다,구글 계정 없이도 사용할 수 있다,오직 텍스트 요약만 가능하다,2,핵심은 내가 올린 자료 안에서만 답한다는 것! 인터넷 전체를 뒤지지 않습니다.,229
22,LEVEL 3,노트북LM에서 생성할 수 없는 정보 유형은?,오디오 요약,마인드맵,플래시카드,실시간 화상회의,4,오디오·마인드맵·플래시카드·퀴즈·슬라이드·인포그래픽은 되지만 화상회의는 불가합니다.,239
23,LEVEL 3,완성된 노트북LM 노트북을 팀원에게 공유하는 방법은?,USB에 저장해서 전달,파일로 내보내어 이메일 첨부,링크를 생성해서 공유,노트북LM은 공유 기능을 지원하지 않는다,3,링크 하나로 공유 끝! 팀원이나 학생에게 학습 자료 배포할 때 매우 유용합니다.,234
24,LEVEL 3,구글 AI 스튜디오(Google AI Studio)에 대한 올바른 설명은?,유튜브 영상 편집 도구,다양한 제미나이 모델을 무료로 체험하고 앱을 만들 수 있는 AI 실험실,구글 드라이브 파일을 자동으로 분류하는 서비스,유료 구독자만 접근 가능,2,구글 AI 스튜디오 = AI 실험실. 최신 모델 체험부터 앱 제작까지 무료로 가능합니다.,242
25,LEVEL 3,구글 AI 스튜디오에서 개발 지식 없이 채팅만으로 앱을 만들 수 있는 메뉴는?,Playground,Dashboard,Build,Documentation,3,Build 메뉴에서는 코딩 없이 채팅만으로 앱을 만들 수 있습니다.,253
26,LEVEL 3,구글 AI 스튜디오에서 고품질 이미지를 무료로 생성하는 도구 이름은?,위스크(Whisk),플로(Flow),이미지FX,나노 바나나,4,나노 바나나! 이름이 특이하죠? 구글 AI 스튜디오에서 무료로 쓸 수 있는 이미지 생성 도구입니다.,258
27,LEVEL 3,구글 AI 스튜디오에서 텍스트 대본으로 다화자 음성 파일을 무료로 만들 수 있다.,O,X,,,1,맞습니다! 유료 구독 없이도 텍스트 대본으로 다화자 음성을 생성할 수 있습니다.,249
28,LEVEL 3,구글 랩스에서 실제 촬영한 듯한 수준의 영상을 만들어 주는 서비스는?,이미지FX,위스크(Whisk),플로(Flow),스티치(Stitch),3,플로(Flow)는 구글 랩스의 영상 생성 서비스입니다.,26
29,LEVEL 3,구글 랩스에서 텍스트+이미지를 입력하면 UI 디자인을 자동으로 만들어 주는 서비스는?,위스크(Whisk),이미지FX,플로(Flow),스티치(Stitch),4,스티치(Stitch)! 디자인 툴 없이도 UI를 뚝딱 만들어주는 구글 랩스의 숨은 기능입니다.,26
30,LEVEL 3,제미나이 활용 시 가장 올바른 태도는?,프롬프트가 짧을수록 좋은 결과가 나온다,결과물이 항상 정확하므로 바로 사용해도 된다,정확도가 중요한 업무일수록 결과물을 직접 검토하고 판단한 뒤 활용해야 한다,구글 계정 없이도 대화 기록이 자동 저장된다,3,AI를 믿되 맹신은 금물. 특히 중요한 업무일수록 꼭 검토하세요.,50
